Year,Model,Condition,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Passport EX-L,New,4.2,40,Platinum White,Gray,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H52PB004983,Y230083,6,,,,,,,OH,Dealer
2018,Odyssey EX-L,Used,4.3,471,Silver,–,Front-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71JB003785,PB007323A,60370,4.8,4.7,4.6,4.3,4.7,4.6,CA,Dealer
2023,Pilot TrailSport,New,5.0,4,Sonic Gray Pearl,Black,All-wheel Drive,18–23,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H62PB000204,H23085,2,,,,,,,WI,Dealer
2021,Passport Sport,Used,4.6,115,Modern Steel Metallic,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H29MB043393,BG0779A,15615,4.9,4.7,4.8,4.6,4.8,4.8,MA,Dealer
2022,Pilot Touring 7-Passenger,Used,5.0,2,Charcoal,Gray,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H60NB021355,58688,8760,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer
2023,CR-V EX-L,New,5.0,1516,Urban Gray Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H7XPH300064,23038,6,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer
2017,Odyssey,Used,4.8,889,–,–,Front-wheel Drive,19–27,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H96HB023455,PH02902A,46274,4.8,4.6,4.8,4.6,4.7,4.8,VA,Dealer
2021,Ridgeline RTL-E,Used,4.3,216,White,–,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F79MB011547,C5236A,18824,4.9,4.7,4.7,4.5,4.9,4.6,AZ,Dealer
2021,Ridgeline Sport,Used,5.0,2581,Gray,Gray,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F1XMB007065,P2346,19625,4.9,4.7,4.7,4.5,4.9,4.6,NH,Dealer
2015,Civic EX-L,Used,5.0,5,Blue,Gray,Front-wheel Drive,29–38,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,2HGFG3B07FH511263,103145,124500,4.6,4.6,4.6,4.7,4.6,4.8,NH,Dealer
2021,HR-V Sport,Used,4.9,5418,Modern Steel Metallic,Black,All-wheel Drive,26–31,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H18MM730425,L8085,21390,4.7,4.6,4.6,4.7,4.7,4.8,MN,Dealer
2021,Pilot Elite,Used,4.8,64,White,Tan,All-wheel Drive,19–26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF6H06MB021399,54AG312P,25512,4.9,4.8,4.8,4.7,4.7,4.8,IL,
2023,HR-V EX-L,New,4.6,9,Milano Red,–,Front-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H73PM723699,00830212,5,4.0,5.0,4.0,5.0,5.0,5.0,CA,Dealer
2022,Passport TrailSport,New,5.0,1337,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H64NB032189,H221786,5,5.0,5.0,4.9,5.0,4.9,5.0,MA,Dealer
2023,Passport EX-L,New,5.0,2291,Obsidian Blue Pearl,Gray,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H5XPB001507,PB001507,5,,,,,,,TX,Dealer
2023,Civic Sport,New,4.9,1559,Lunar Silver Metallic,Black,Front-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,2HGFE2F5XPH517159,230169,15,,,,,,,CT,Dealer
2014,Accord LX,Used,2.5,89,–,–,Front-wheel Drive,27–36,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCR2F30EA299072,2994X,104972,4.6,4.6,4.6,4.6,4.7,4.8,MT,Dealer
2019,Pilot Touring 7-Passenger,Honda Certified,4.9,2138,–,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H66KB038866,121472Y,46982,4.8,4.7,4.7,4.6,4.7,4.8,IN,Dealer
2019,Odyssey EX-L,Honda Certified,4.8,602,Crystal Black Pearl,Gray,Front-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H7XKB092354,KB092354,22787,4.8,4.6,4.5,4.3,4.7,4.5,AR,Dealer
2021,Ridgeline Sport,Honda Certified,4.2,1389,Crystal Black Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F17MB011512,CHJ220763A,21228,4.9,4.7,4.7,4.5,4.9,4.6,FL,Dealer
2019,Civic Type R Touring,Used,4.8,2,Gray,Black,Front-wheel Drive,22–28,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G77KU202701,HC--TYPER,22388,4.6,4.7,5.0,4.8,4.8,4.8,IN,Dealer
2010,Odyssey EX-L,Used,4.0,9531,Blue,Black,Front-wheel Drive,17–25,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL3H70AB086057,2002177204,86383,4.6,4.4,4.3,4.3,4.4,4.6,IL,
2023,CR-V Hybrid Sport Touring,New,4.7,2376,Urban Gray Pearl,–,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH801032,PH801032,8,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer
2019,Odyssey EX-L,Used,4.2,90,Obsidian Blue Pearl,Gray,Front-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H78KB097004,14948,44988,4.8,4.6,4.5,4.3,4.7,4.5,NY,Dealer
2022,Pilot Special Edition,New,5.0,3,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB100232,221813,5,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
2023,Pilot Touring,New,4.8,4583,Modern Steel Metallic,Black,AWD,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H79PB006994,PB006994,4,,,,,,,NJ,Dealer
2019,Ridgeline Sport,Used,4.7,349,Crystal Black Pearl,Black,Front-wheel Drive,19–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK2F12KB005303,KB005303,57676,4.9,4.8,4.8,4.6,4.7,4.9,FL,Dealer
2022,Ridgeline Black,New,4.9,958,Nh-731p/Crystal Bl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,V6 Cylinder Engine,5FPYK3F8XNB021580,HN12025,3097,5.0,4.9,4.9,4.3,4.7,5.0,NC,Dealer
2022,Ridgeline RTL-E,New,3.9,719,Pacific Pewter Metallic,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74NB017094,2517094,8,5.0,4.9,4.9,4.3,4.7,5.0,CA,Dealer
2009,Accord EX-L,Used,4.3,178,White,Gray,Front-wheel Drive,21–30,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,1HGCP26859A012297,22349B,130569,4.4,4.4,4.3,4.4,4.5,4.5,MN,Dealer
2016,Civic EX-L,Used,4.9,906,Blue,Gray,Front-wheel Drive,31–42,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFC1F74GE013220,W10319A,45644,4.6,4.6,4.6,4.6,4.8,4.6,WI,Dealer
2022,Passport Elite,Used,4.9,44,Platinum White Pearl,Gray,All-wheel Drive,19–24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF8H04NB005652,22326A,11889,5.0,5.0,4.9,5.0,4.9,5.0,MD,Dealer
2021,Pilot EX-L,Used,3.9,161,Black,Black,All-wheel Drive,19–26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF6H59MB073315,P9875,24685,4.9,4.8,4.8,4.7,4.7,4.8,WI,Dealer
2021,Passport Touring,Used,4.1,175,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H94MB035439,12208MAG,12162,4.9,4.7,4.8,4.6,4.8,4.8,AK,Dealer
2021,Passport EX-L,Used,4.8,2,Black,Gray,All-wheel Drive,19–24,Gasoline,Automatic,V6 Cylinder Engine,5FNYF8H52MB024260,23PD0250,35970,4.9,4.7,4.8,4.6,4.8,4.8,NC,Dealer
2022,Pilot Special Edition,New,3.6,35,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H21NB094604,HT20090,5,5.0,5.0,5.0,5.0,5.0,5.0,WV,Dealer
2023,Accord Hybrid Sport,New,5.0,619,Lunar Silver Metallic,Black,Front-wheel Drive,46–41,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,1HGCY2F59PA000413,230227,0,,,,,,,CA,Dealer
2016,Pilot Elite,Used,4.6,1144,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H07GB090428,9090428,71594,4.7,4.6,4.5,4.4,4.6,4.6,ND,Dealer
2016,Odyssey EX-L,Used,4.7,932,Lunar Silver Metallic,Gray,Front-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H66GB051244,23215A,114828,4.8,4.6,4.7,4.6,4.7,4.8,NH,Dealer
2020,Civic EX,Honda Certified,4.9,293,Gray,Gray,Front-wheel Drive,32–42,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFC1F31LE202771,62047,25737,4.8,4.8,4.9,4.8,4.9,4.9,WI,Dealer
2019,Civic EX,Used,5.0,4793,White,Black,Front-wheel Drive,31–40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H63KU408095,P9240A,47715,4.8,4.8,4.9,4.8,4.9,4.9,WA,Dealer
2022,Accord Hybrid Sport,Used,5.0,48,Radiant Red Metallic,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F27NA015378,P142301,17217,4.9,5.0,5.0,4.9,4.9,5.0,IL,Dealer
2018,Accord EX-L,Used,4.7,492,Crystal Black Pearl,Black,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F58JA116826,223101A,99188,4.8,4.8,4.7,4.7,4.8,4.8,GA,Dealer
2020,Ridgeline RTL,Used,4.7,0,Pacific Pewter Metallic,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F5XLB025275,HPJS025275,41998,4.8,4.7,4.6,4.5,4.7,4.7,FL,Dealer
2019,Pilot Touring 8-Passenger,Used,4.7,4,Black,Black,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H96KB030349,H529984A,46812,4.8,4.7,4.7,4.6,4.7,4.8,IL,Dealer
2007,Element LX,Used,4.5,470,Blue,–,Four-wheel Drive,21–26,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,5J6YH28367L008757,S8897T,75048,4.2,4.4,4.2,4.5,4.5,4.6,OH,Dealer
2018,Odyssey Elite,Used,4.6,133,Deep Scarlet Pearl,Beige,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H99JB068871,UD3249,65083,4.8,4.7,4.6,4.3,4.7,4.6,CA,Dealer
2015,Accord LX,Used,4.5,857,Alabaster Silver Metallic,Black,Front-wheel Drive,27–36,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCR2F31FA029415,P14126H,66595,4.7,4.6,4.7,4.7,4.7,4.8,SC,Dealer
2023,CR-V Hybrid Sport Touring,New,5.0,7009,Still Night Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH800915,PH800915,5,5.0,3.0,4.0,4.0,5.0,5.0,NJ,Dealer
2022,Pilot Sport,Used,5.0,7,White,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H33NB034817,A1128,9322,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
2019,Accord LX,Used,4.5,1627,Champagne Frost Pearl,Ivory,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F13KA070403,KA070403A,29549,4.7,4.7,4.7,4.7,4.8,4.8,IA,Dealer
2018,Civic LX,Used,4.8,66,Taffeta White,Gray,Front-wheel Drive,31–40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F59JH574711,P2334,80652,4.7,4.7,4.8,4.8,4.9,4.8,MN,Dealer
2012,Crosstour EX-L,Used,4.9,594,White Diamond Pearl,–,Four-wheel Drive,18–26,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H57CL006186,CL006186,92227,4.8,4.7,4.7,4.6,4.7,4.8,SC,Dealer
2023,Ridgeline RTL-E,New,4.9,1600,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB012190,PB012190T,3,5.0,4.8,4.8,4.2,5.0,5.0,NJ,Dealer
2013,Pilot EX,Used,4.0,9531,Silver,Gray,Front-wheel Drive,18–25,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF3H43DB042941,2002134299,77853,4.6,4.5,4.4,4.6,4.4,4.7,IL,
2017,Pilot EX-L,Used,4.7,349,White Diamond Pearl,Beige,Front-wheel Drive,19–27,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H5XHB024124,LEA47610A,82056,4.8,4.7,4.7,4.6,4.7,4.7,FL,Dealer
2013,Civic EX-L,Used,4.9,455,Dyno Blue Pearl,Gray,Front-wheel Drive,28–39,Gasoline,5-Speed Automatic,1.8L I4 16V MPFI SOHC,19XFB2F93DE287210,12778,56964,4.5,4.5,4.4,4.7,4.6,4.8,CA,Dealer
2023,Ridgeline RTL,New,5.0,5663,Silver Metallic,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F59PB013446,B013446,1,5.0,4.8,4.8,4.2,5.0,5.0,KY,Dealer
2022,Pilot EX-L,New,5.0,2068,Lunar,Gray,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H52NB089910,NB089910,4,5.0,5.0,5.0,5.0,5.0,5.0,MD,Dealer
2023,CR-V Hybrid Sport Touring,New,5.0,1337,Urban Gray Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH801111,H230160,6,5.0,3.0,4.0,4.0,5.0,5.0,MA,Dealer
2021,Accord Sport 1.5T,Used,4.9,715,San Marino Red,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F30MA060805,U184,43615,4.9,4.8,4.8,4.8,4.9,4.8,OK,Dealer
2023,Odyssey Elite,New,5.0,3543,Sonic Gray Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H98PB032260,98465,5,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer
2023,Ridgeline Black Edition,New,4.8,23,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F83PB018488,30429,10,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer
2022,Pilot Sport,Used,5.0,1086,–,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB047352,P047352,4199,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
2019,Odyssey Elite,Used,5.0,1944,Modern Steel Metallic,Gray,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H96KB000156,221023A,36452,4.8,4.6,4.5,4.3,4.7,4.5,FL,Dealer
2022,Civic Sport,New,4.6,5,Rallye Red,Black,Front-wheel Drive,29–37,Gasoline,continuously variable,4 Cylinder Engine,19XFL2H87NE021708,22015,18,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer
2021,Insight Touring,Used,4.6,203,White,–,Front-wheel Drive,51–45,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F90ME005315,4474A,19854,5.0,5.0,5.0,5.0,5.0,5.0,WA,Dealer
2023,Odyssey Elite,New,4.4,989,Crystal Black Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H92PB029709,H029709,6,5.0,5.0,4.0,4.0,4.0,5.0,OH,Dealer
2023,Civic EX-L,New,5.0,7009,Meteorite Gray Metallic,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFL1H78PE002220,PE002220,40,,,,,,,NJ,Dealer
2022,Accord Hybrid Sport,New,2.7,447,Platinum White Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA037312,NA037312,0,4.9,5.0,5.0,4.9,4.9,5.0,VA,Dealer
2023,HR-V Sport,New,5.0,619,Urban Gray Pearl,Black,Front-wheel Drive,26–32,Gasoline,Variable,Regular Unleaded I-4 2.0 L/122,3CZRZ1H50PM727871,230237,0,4.0,5.0,4.0,5.0,5.0,5.0,CA,Dealer
2019,Clarity Plug-In Hybrid Base,Used,3.9,83,Platinum White Pearl,Beige,Front-wheel Drive,,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,JHMZC5F14KC005262,005262T,27985,4.9,4.9,4.9,5.0,4.7,5.0,CA,Dealer
2016,CR-V SE,Used,4.6,31,Brown,Black,AWD,25–31,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,2HKRM4H49GH652722,1190184052,114750,4.6,4.5,4.6,4.6,4.7,4.7,NC,Dealer
2022,Pilot Elite,New,5.0,580,Crystal Black,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H06NB066733,21733,12,5.0,5.0,5.0,5.0,5.0,5.0,OH,Dealer
2019,Passport EX-L,Used,5.0,734,Black Forest Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H56KB012075,37770A,9494,4.8,4.7,4.7,4.6,4.7,4.8,MA,Dealer
2022,Civic Si Base,Used,4.8,365,Blue,Black / Red,Front-wheel Drive,27–37,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E54NH473961,22074AT,2235,4.2,4.0,4.5,4.2,4.5,5.0,NJ,Dealer
2020,Odyssey EX-L,Used,5.0,2857,Platinum White Pearl,Beige,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,V6 Cylinder Engine,5FNRL6H73LB001958,L32453A,79344,4.8,4.8,4.7,4.6,4.7,4.7,SC,Dealer
2023,CR-V EX-L,New,4.6,1874,Still Night Pearl,–,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH401498,PH401498,5,5.0,5.0,5.0,4.0,4.0,5.0,IL,Dealer
2020,Civic Si Base,Used,4.9,10,Lunar Silver Metallic,Black,Front-wheel Drive,26–36,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC1E55LH708449,23704461,16437,4.8,4.8,4.8,4.8,4.9,4.9,TN,Dealer
2022,Accord Hybrid Sport,New,4.7,328,Platinum White Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F20NA048125,224050,12,4.9,5.0,5.0,4.9,4.9,5.0,LA,Dealer
2016,Odyssey Touring Elite,Used,5.0,1201,Obsidian Blue Pearl,Gray,Front-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H95GB098856,38434A,80026,4.8,4.6,4.7,4.6,4.7,4.8,KY,Dealer
2020,Accord Sport 1.5T,Used,4.4,152,Black,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F36LA139264,M12975,11207,4.8,4.8,4.8,4.8,4.9,4.9,UT,Dealer
2020,Civic Si Base,Used,4.5,26,Lunar Silver Metallic,Black,Front-wheel Drive,26–36,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC1E57LH704841,20639,50205,4.8,4.8,4.8,4.8,4.9,4.9,KS,Dealer
2023,CR-V Hybrid Sport Touring,New,5.0,1370,Urban Gray Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H97PE005574,2H30336,1,5.0,3.0,4.0,4.0,5.0,5.0,CO,Dealer
2023,Pilot Touring,New,5.0,1161,Sonic Gray Pearl,Black,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H76PB001686,MH12198,5,,,,,,,MA,Dealer
2023,CR-V EX-L,New,4.9,3405,Still Night Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H78PH301794,PH301794,12,5.0,5.0,5.0,4.0,4.0,5.0,TX,Dealer
2014,Crosstour EX,Used,4.8,19,Red,Tan,Front-wheel Drive,22–31,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,5J6TF3H34EL000031,000031,112984,4.8,4.8,5.0,4.6,4.7,4.8,NC,Dealer
2017,Ridgeline RTL,Used,5.0,1155,White Diamond Pearl,Black,All-wheel Drive,18–25,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F52HB011152,HB011152,109266,4.8,4.7,4.7,4.4,4.7,4.7,MO,Dealer
2022,Accord Sport 1.5T,New,4.6,1493,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F36NA089355,H221156,11,5.0,5.0,5.0,5.0,5.0,5.0,MA,Dealer
2021,Passport Touring,Used,5.0,747,Gray,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H94MB006121,6440PH,24076,4.9,4.7,4.8,4.6,4.8,4.8,ID,Dealer
2022,Pilot EX-L,Used,4.7,1992,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H58NB021692,62392B,9649,5.0,5.0,5.0,5.0,5.0,5.0,OH,Dealer
2018,Civic EX,Used,5.0,1192,Gray,Black,Front-wheel Drive,31–40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H59JU416420,5SU16420,73407,4.7,4.7,4.8,4.8,4.9,4.8,MD,Dealer
2020,Ridgeline Sport,Honda Certified,4.5,3416,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F14LB015872,235118A,21862,4.8,4.7,4.6,4.5,4.7,4.7,NJ,Dealer
2022,Accord Hybrid Sport,New,4.4,124,Sonic Gray Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F25NA046984,40017-37,5,4.9,5.0,5.0,4.9,4.9,5.0,PA,Dealer
2023,Civic Si Base,New,4.3,1905,Crystal Black Pearl,–,Front-wheel Drive,,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E55PH471722,00230618,10,,,,,,,AZ,Dealer
2022,Pilot Sport,New,5.0,333,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB100754,78724,5,5.0,5.0,5.0,5.0,5.0,5.0,NV,Dealer
2023,Pilot Touring,New,4.6,1874,Crystal Black Pearl,–,AWD,,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5FNYG1H75PB000884,PB000884,8,,,,,,,IL,Dealer
2023,Odyssey Sport,New,4.7,367,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H7XPB031304,H61775,4,5.0,5.0,4.0,4.0,4.0,5.0,FL,Dealer
2022,Pilot Sport,New,4.8,1152,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H30NB102863,B102863,3,5.0,5.0,5.0,5.0,5.0,5.0,GA,Dealer
2019,Accord Hybrid Touring,Used,4.2,202,Obsidian Blue Pearl,–,FWD,48–48,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F97KA007581,KA007581,80986,4.5,4.5,3.9,3.9,4.6,4.4,GA,Dealer
2022,CR-V Touring,New,4.5,230,Platinum White Pearl,–,All-wheel Drive,27–32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW2H94NE050546,NE050546,7,4.9,4.8,4.7,4.8,4.7,4.9,TX,Dealer
2021,Passport Touring,Used,4.8,46,Lunar Silver Metallic,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H98MB036495,V019500A,4835,4.9,4.7,4.8,4.6,4.8,4.8,MD,Dealer
2022,Pilot TrailSport,New,3.7,270,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H87NB102239,22H709,2,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
2022,Accord Sport 2.0T,New,4.2,1147,Still Night Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F38NA019944,H221629,14,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
2023,Pilot TrailSport,New,4.6,1641,Sky,Black,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H6XPB001438,H23118,5,,,,,,,MI,Dealer
2022,Accord Hybrid Sport,New,3.0,2142,Sonic Gray Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F21NA028031,41743-13,6,4.9,5.0,5.0,4.9,4.9,5.0,OH,Dealer
